view,column,dtype,n_total,n_null,pct_null,sentinel_value,n_sentinel,pct_sentinel,pct_missing_total,n_distinct,mechanism,mechanism_justification,recommendation,recommendation_justification,carries_semantic_content,is_primary_feature
matches_1v1_clean,sharedExploration,BOOLEAN,61062392,11186,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,speed,VARCHAR,61062392,0,0.0,,0,0.0,0.0,3.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,speedFactor,FLOAT,61062392,0,0.0,,0,0.0,0.0,3.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,suddenDeathMode,BOOLEAN,61062392,214514,0.3513,,0,0.0,0.3513,2.0,MAR,Boolean game mode; 01_02_04 evidence.,RETAIN_AS_IS,Rate 0.35% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,antiquityMode,BOOLEAN,61062392,36676142,60.0634,,0,0.0,60.0634,2.0,MAR,Schema-evolution column: introduced in a later patch; missingness depends on observed match patch (a recorded variable). 01_02_04 reports null_pct=68.66%.,DROP_COLUMN,Rate 60.06% in 40-80%; non-primary feature; cost/benefit favors simplicity per Rule S4.,False,False
matches_1v1_clean,civilizationSet,VARCHAR,61062392,0,0.0,,0,0.0,0.0,3.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,teamPositions,BOOLEAN,61062392,11196,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,teamTogether,BOOLEAN,61062392,11196,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,treatyLength,INTEGER,61062392,4392,0.0072,,0,0.0,0.0072,15.0,MAR,Treaty duration; 01_02_04 evidence.,RETAIN_AS_IS,Rate 0.01% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,turboMode,BOOLEAN,61062392,11184,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game mode; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,victory,VARCHAR,61062392,0,0.0,,0,0.0,0.0,3.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,revealMap,VARCHAR,61062392,0,0.0,,0,0.0,0.0,4.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,scenario,VARCHAR,61062392,61062388,100.0,,0,0.0,100.0,2.0,MAR,Custom scenario only; absent for ranked random map. 01_02_04 reports null_pct=98.27%.,DROP_COLUMN,NULL+sentinel rate 100.00% exceeds 80% (Rule S4 / van Buuren 2018). Imputation indefensible at this rate.,False,False
matches_1v1_clean,password,BOOLEAN,61062392,47367192,77.5718,,0,0.0,77.5718,1.0,MAR,Password-protected lobbies only. 01_02_04 reports null_pct=82.90%.,DROP_COLUMN,Rate 77.57% in 40-80%; non-primary feature; cost/benefit favors simplicity per Rule S4.,False,False
matches_1v1_clean,modDataset,VARCHAR,61062392,61062392,100.0,,0,0.0,100.0,0.0,MAR,Scenario-specific; absent for ranked random map. 01_02_04 reports null_pct=99.72%.,DROP_COLUMN,NULL+sentinel rate 100.00% exceeds 80% (Rule S4 / van Buuren 2018). Imputation indefensible at this rate.,False,False
matches_1v1_clean,profileId,INTEGER,61062392,0,0.0,,0,0.0,0.0,,N/A,Identity column; n_distinct check skipped per W6 (constants-detection runtime budget). Zero NULLs by definition (asserted upstream).,RETAIN_AS_IS,Identity column; no missingness possible by upstream assertion.,False,False
matches_1v1_clean,rating,INTEGER,61062392,15999234,26.2015,,0,0.0,26.2015,3035.0,MAR,"Unranked matches lack rating. In matches_1v1_clean (ranked scope), effective NULL rate is ~26% -- primary feature, not dropped per Rule S4 exception. The matches_1v1_clean VIEW asserts `rating >= 0` upstream, so the -1 sentinel is filtered before the audit sees it; n_sentinel=0 in the ledger reflects upstream filtering, not absence of the encoding. Source: 01_03_03 + this audit.",FLAG_FOR_IMPUTATION,Rate 26.20% in 5-40%; flag for Phase 02 imputation.,True,True
matches_1v1_clean,color,INTEGER,61062392,1591,0.0026,,0,0.0,0.0026,44.0,MCAR,In-game color code; near-zero null per 01_02_04.,RETAIN_AS_IS,Rate 0.00% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,colorHex,VARCHAR,61062392,0,0.0,,0,0.0,0.0,9.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,slot,INTEGER,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,status,VARCHAR,61062392,0,0.0,,0,0.0,0.0,1.0,N/A,"True constant column; n_distinct=1 across 61,062,392 rows (zero NULLs, zero sentinels). No information content for prediction.",DROP_COLUMN,True constant column; n_distinct=1; no information content.,False,False
matches_1v1_clean,team,INTEGER,61062392,1222484,2.002,255,0,0.0,2.002,6.0,MAR,Team number; sentinel 255 per matches_raw schema YAML notes.,RETAIN_AS_IS,Rate 2.00% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,True,False
matches_1v1_clean,won,BOOLEAN,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,country,VARCHAR,61062392,1373052,2.2486,,0,0.0,2.2486,206.0,MAR,Player chose not to disclose country. Source: 01_02_04 distribution.,RETAIN_AS_IS,Rate 2.25% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,shared,BOOLEAN,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,verified,BOOLEAN,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,civ,VARCHAR,61062392,0,0.0,,0,0.0,0.0,56.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,filename,VARCHAR,61062392,0,0.0,,0,0.0,0.0,2073.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,is_null_cluster,BOOLEAN,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,matchId,INTEGER,264132745,0,0.0,,0,0.0,0.0,,N/A,Identity column; n_distinct check skipped per W6 (constants-detection runtime budget). Zero NULLs by definition (asserted upstream).,RETAIN_AS_IS,Identity column; no missingness possible by upstream assertion.,False,False
player_history_all,profileId,INTEGER,264132745,0,0.0,,0,0.0,0.0,,N/A,Identity column; n_distinct check skipped per W6 (constants-detection runtime budget). Zero NULLs by definition (asserted upstream).,RETAIN_AS_IS,Identity column; no missingness possible by upstream assertion.,False,False
player_history_all,name,VARCHAR,264132745,625,0.0002,,0,0.0,0.0002,2468341.0,MCAR,Display name; near-zero null per 01_02_04.,RETAIN_AS_IS,Rate 0.00% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
player_history_all,started,TIMESTAMP,264132745,0,0.0,,0,0.0,0.0,54133792.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,leaderboard,VARCHAR,264132745,0,0.0,,0,0.0,0.0,21.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,internalLeaderboardId,INTEGER,264132745,1209089,0.4578,,0,0.0,0.4578,118.0,MAR,"No _missingness_spec entry; conservative MAR assumption. Effective missingness 0.46% (NULL: 0.46%, sentinel: 0.00%).",RETAIN_AS_IS,Rate 0.46% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
player_history_all,map,VARCHAR,264132745,0,0.0,,0,0.0,0.0,223.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,civ,VARCHAR,264132745,0,0.0,,0,0.0,0.0,75.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,rating,INTEGER,264132745,104676152,39.6301,,0,0.0,39.6301,3666.0,MAR,"Unranked matches lack rating. In matches_1v1_clean (ranked scope), effective NULL rate is ~26% -- primary feature, not dropped per Rule S4 exception. The matches_1v1_clean VIEW asserts `rating >= 0` upstream, so the -1 sentinel is filtered before the audit sees it; n_sentinel=0 in the ledger reflects upstream filtering, not absence of the encoding. Source: 01_03_03 + this audit.",FLAG_FOR_IMPUTATION,Rate 39.63% in 5-40%; flag for Phase 02 imputation.,True,True
player_history_all,color,INTEGER,264132745,7089,0.0027,,0,0.0,0.0027,44.0,MCAR,In-game color code; near-zero null per 01_02_04.,RETAIN_AS_IS,Rate 0.00% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
player_history_all,slot,INTEGER,264132745,0,0.0,,0,0.0,0.0,8.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,team,INTEGER,264132745,13270235,5.0241,255,2,0.0,5.0241,29.0,MAR,Team number; sentinel 255 per matches_raw schema YAML notes.,FLAG_FOR_IMPUTATION,Rate 5.02% in 5-40%; flag for Phase 02 imputation.,True,False
player_history_all,startingAge,VARCHAR,264132745,0,0.0,,0,0.0,0.0,12.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,gameMode,VARCHAR,264132745,0,0.0,,0,0.0,0.0,14.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,speed,VARCHAR,264132745,0,0.0,,0,0.0,0.0,5.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,won,BOOLEAN,264132745,19251,0.0073,,0,0.0,0.0073,2.0,MAR,Unranked / unknown leaderboards lack won. Excluded from prediction scope (matches_1v1_clean enforces via R03); retained in player_history_all for feature computation. Source: 01_03_02 + R03.,EXCLUDE_TARGET_NULL_ROWS,"Per Rule S2: target NULLs/sentinels excluded from prediction scope, retained in history for feature computation. NEVER impute target.",False,False
player_history_all,country,VARCHAR,264132745,21936289,8.305,,0,0.0,8.305,216.0,MAR,Player chose not to disclose country. Source: 01_02_04 distribution.,FLAG_FOR_IMPUTATION,Rate 8.30% in 5-40%; flag for Phase 02 imputation.,False,False
player_history_all,status,VARCHAR,264132745,0,0.0,,0,0.0,0.0,1.0,N/A,"True constant column; n_distinct=1 across 264,132,745 rows (zero NULLs, zero sentinels). No information content for prediction.",DROP_COLUMN,True constant column; n_distinct=1; no information content.,False,False
player_history_all,verified,BOOLEAN,264132745,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
player_history_all,filename,VARCHAR,264132745,0,0.0,,0,0.0,0.0,2073.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
