column_name,table_or_view,dtype,semantics,valid_range,nullability,units,temporal_classification,provenance_step,invariant_notes
internalLeaderboardId,matches_1v1_clean,INTEGER,Numeric ladder ID. Maps to ratings_raw.leaderboard_id.,see notes,NULLABLE,none,METADATA,01_04_02,"CONTEXT. Numeric ladder ID; 2 distinct values in scope (6, 18). Zero NULLs by upstream filter (internalLeaderboardId IN (6, 18))."
privacy,matches_1v1_clean,VARCHAR,Lobby privacy setting (3 distinct values).,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Lobby privacy setting. Zero NULLs.
map,matches_1v1_clean,VARCHAR,"Map name (e.g., arabia, arena, black_forest).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 94 distinct maps in 1v1 ranked scope. Zero NULLs.
difficulty,matches_1v1_clean,VARCHAR,Difficulty setting (3 distinct values in scope).,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 3 distinct values per ledger. Zero NULLs. NOT a constant (n_distinct=3; RETAIN_AS_IS per DS-AOEC-03).
startingAge,matches_1v1_clean,VARCHAR,"Starting age setting (dark, feudal, castle, imperial).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; near-constant in ranked play. Zero NULLs.
fullTechTree,matches_1v1_clean,BOOLEAN,Whether full tech tree is enabled.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary).
allowCheats,matches_1v1_clean,BOOLEAN,Whether cheats are allowed.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
empireWarsMode,matches_1v1_clean,BOOLEAN,Whether Empire Wars mode is active.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game mode; ~0.35% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary).
endingAge,matches_1v1_clean,VARCHAR,Ending age setting.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting. Zero NULLs.
gameMode,matches_1v1_clean,VARCHAR,"Game mode identifier (e.g., random_map, empire_wars).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting. Zero NULLs.
lockSpeed,matches_1v1_clean,BOOLEAN,Whether game speed is locked.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
lockTeams,matches_1v1_clean,BOOLEAN,Whether teams are locked.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
mapSize,matches_1v1_clean,VARCHAR,"Map size category (tiny, small, medium, normal, large, giant).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 5 distinct map sizes. Zero NULLs.
population,matches_1v1_clean,INTEGER,Population cap setting.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
hideCivs,matches_1v1_clean,BOOLEAN,Whether civilizations are hidden from opponents before the match.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Schema-evolution column (patch-dependent visibility setting). ~37.18% NULL (DS-AOEC-02 FLAG_FOR_IMPUTATION per ledger). Phase 02 will materialise the imputation method AND its companion indicator (if chosen). NOT pre-materialised at cleaning time per cross-dataset convention (sc2egset isIn
recordGame,matches_1v1_clean,BOOLEAN,Whether the game is recorded.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
regicideMode,matches_1v1_clean,BOOLEAN,Whether Regicide mode is active.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game mode; ~3.05% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary).
gameVariant,matches_1v1_clean,VARCHAR,Game variant identifier.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 2 distinct values. Zero NULLs.
resources,matches_1v1_clean,VARCHAR,Starting resources setting.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 4 distinct values. Zero NULLs.
sharedExploration,matches_1v1_clean,BOOLEAN,Whether map exploration is shared between team members.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
speed,matches_1v1_clean,VARCHAR,"Game speed setting name (e.g., normal, fast).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 3 distinct values. Zero NULLs.
speedFactor,matches_1v1_clean,FLOAT,Numeric speed multiplier.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 3 distinct values. Zero NULLs.
suddenDeathMode,matches_1v1_clean,BOOLEAN,Whether Sudden Death mode is active.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game mode; ~0.35% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary).
civilizationSet,matches_1v1_clean,VARCHAR,"Civilization set restriction (e.g., all, dlc_specific).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 3 distinct values. Zero NULLs.
teamPositions,matches_1v1_clean,BOOLEAN,Whether team start positions are fixed.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
teamTogether,matches_1v1_clean,BOOLEAN,Whether team start positions cluster allies together.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
treatyLength,matches_1v1_clean,INTEGER,Treaty duration in minutes (0 = no treaty).,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; ~0.01% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary).
turboMode,matches_1v1_clean,BOOLEAN,Whether Turbo mode is active.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game mode; <0.02% NULL per ledger (Schafer & Graham 2002 <5% MCAR boundary). NULL-cluster member (R04 is_null_cluster).
victory,matches_1v1_clean,VARCHAR,"Victory condition (conquest, wonder, relic, time_limit).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 3 distinct values. Zero NULLs.
revealMap,matches_1v1_clean,VARCHAR,"Map reveal setting (normal, explored, all_visible).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; 4 distinct values. Zero NULLs.
profileId,matches_1v1_clean,INTEGER,Player profile identifier. Primary player identity key in aoe2companion.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. All profileId=-1 rows excluded upstream (R02 / R00). Zero NULLs.
rating,matches_1v1_clean,INTEGER,"Player ELO rating entering the match (PRE-GAME, confirmed 01_03_03).",see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,PRE_GAME. Player ELO rating before the match. ~26.20% NULL in scope (DS-AOEC-04 / Rule S4 primary feature exception per van Buuren 2018). The matches_1v1_clean VIEW asserts rating >= 0 upstream so the -1 sentinel is filtered before this VIEW; n_sentinel=0 in the audit reflects upstream filtering. Ph
rating_was_null,matches_1v1_clean,BOOLEAN,TRUE if this row had NULL rating before any Phase 02 imputation. BOOLEAN.,"{TRUE, FALSE, NULL}",NULLABLE,Elo points,PRE_GAME,01_04_02,PRE_GAME. Indicator flag for unrated/missing-rating players (rating IS NULL). Derives from rating; safe as feature without temporal filter. New in 01_04_02 per DS-AOEC-04 (sklearn MissingIndicator pattern).
color,matches_1v1_clean,INTEGER,In-game player color code (1-8).,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Lobby assignment; not predictive. ~0.003% NULL (MCAR; RETAIN_AS_IS).
colorHex,matches_1v1_clean,VARCHAR,In-game player color as hex string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Hex string of color code. Zero NULLs.
slot,matches_1v1_clean,INTEGER,Player slot index in the lobby.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Lobby assignment. Zero NULLs.
team,matches_1v1_clean,INTEGER,Team number (1 or 2 for 1v1 matches). Sentinel 255 exists in matches_raw.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Team number; sentinel 255 per matches_raw schema YAML notes. ~2.00% NULL per ledger (rate < 5% Schafer & Graham 2002 boundary; RETAIN_AS_IS).
won,matches_1v1_clean,BOOLEAN,"Match outcome for this player. TRUE = won, FALSE = lost.","{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_02,TARGET. Primary prediction label. BOOLEAN strict TRUE/FALSE; zero NULLs by R03 complementarity (F1 zero-missingness override).
country,matches_1v1_clean,VARCHAR,Player country code (ISO 3166-1 alpha-2).,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY / CONTEXT. Player attribute; potential demographic feature. ~2.25% NULL in matches_1v1_clean scope (rate < 5% Schafer & Graham 2002 boundary; ledger recommendation RETAIN_AS_IS). Player_history_all rate (~8.30%) crosses the FLAG band -- Phase 02 chooses per-VIEW strategy ('Unknown' category
shared,matches_1v1_clean,BOOLEAN,Whether the match is shared/public.,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. Lobby share setting. Zero NULLs.
verified,matches_1v1_clean,BOOLEAN,Whether the player account is verified.,"{TRUE, FALSE, NULL}",NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Account verification status. Zero NULLs.
civ,matches_1v1_clean,VARCHAR,"Civilization name chosen by this player (e.g., Franks, Mongols, Britons).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Player civilization choice. Zero NULLs. Feature candidate for civ proficiency.
filename,matches_1v1_clean,VARCHAR,Source Parquet file path relative to raw_dir (I10).,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY / PROVENANCE. Invariant I10: relative path only.
is_null_cluster,matches_1v1_clean,BOOLEAN,TRUE if this match belongs to the NULL-cluster schema era (10 game settings simultaneously NULL).,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,"CONTEXT. R04 schema-era boundary flag -- TRUE when 10 game-settings columns are simultaneously NULL (allowCheats, lockSpeed, lockTeams, recordGame, sharedExploration, teamPositions, teamTogether, turboMode, fullTechTree, population). Spans entire date range, <0.02% of rows; informational only."
duration_seconds,matches_1v1_clean,BIGINT,Match duration in seconds (finished - started). Source: MIN(finished) per matchId from matches_raw.,≥0s,NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_02,POST_GAME_HISTORICAL. Derived: CAST(EXTRACT(EPOCH FROM (r.finished - d.started)) AS BIGINT). Threshold 86400s: I7 provenance from 01_04_03 Gate+5b (~25x p99=3458s); Tukey (1977) EDA sanity bound; I8 cross-dataset canonical. SAFE only as player-history aggregate filtered match_time < T (I3). NULL fra
is_duration_suspicious,matches_1v1_clean,BOOLEAN,TRUE if duration_seconds > 86400 (24h sanity bound exceeded; bogus wall-clock).,"{TRUE, FALSE, NULL}",NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_02,POST_GAME_HISTORICAL. Derived flag: (duration_seconds > 86400). Expected TRUE count: 142. Threshold 86400s: I7 provenance (01_04_03 Gate+5b; Tukey 1977). I8: identical threshold across all 3 datasets. SAFE only as player-history aggregate filtered match_time < T (I3). Added 2026-04-18 ADDENDUM.
is_duration_negative,matches_1v1_clean,BOOLEAN,TRUE if duration_seconds < 0 (strict; clock skew in raw data).,"{TRUE, FALSE, NULL}",NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_02,"POST_GAME_HISTORICAL. Derived flag: (duration_seconds < 0), strict inequality. Expected TRUE count: 342. Zero-duration rows (16) are UNFLAGGED (0 < 0 = FALSE). Q2 resolved: strict < 0, not <= 0. Phase 02 handles zero-duration known state. aoec-specific (sc2/aoestats duration cannot go negative). SAF"
matchId,player_history_all,INTEGER,Match identifier. Join key for linking player rows to a match.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY / CONTEXT. Temporal join key for feature computation.
profileId,player_history_all,INTEGER,Player profile identifier. Primary player identity key in aoe2companion.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. All profileId=-1 rows excluded (R02 / R00).
name,player_history_all,VARCHAR,Player in-game display name at time of match.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Not used as canonical identifier (server-scoped); see I2.
started,player_history_all,TIMESTAMP,Match start timestamp. Temporal anchor for I3 discipline.,see notes,NULLABLE,none,TARGET,01_04_02,CONTEXT. I3: downstream feature queries must use WHERE ph.started < target_match.started.
leaderboard,player_history_all,VARCHAR,"Ladder name (rm_1v1, rm_team, unranked, etc.). 21 distinct values.",see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. No restriction applied: all game types included for feature scope.
internalLeaderboardId,player_history_all,INTEGER,Numeric ladder ID. Maps to ratings_raw.leaderboard_id for cross-table joins.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Not filtered; all leaderboard IDs present.
map,player_history_all,VARCHAR,"Map name (e.g., arabia, arena, black_forest).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Available before match start.
civ,player_history_all,VARCHAR,"Civilization name (e.g., Franks, Mongols, Britons).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Player's civilization choice. Feature candidate for civ proficiency.
rating,player_history_all,INTEGER,Player ELO rating entering the match. Confirmed PRE-GAME in 01_03_03 (99.8%).,see notes,NULLABLE,Elo points,TARGET,01_04_02,PRE_GAME. I3: use only games where started < target_match.started. ~39.63% NULL in player_history_all (all leaderboards including unranked). Phase 02 imputation: median-within-leaderboard strategy TBD.
color,player_history_all,INTEGER,In-game player color code (1-8).,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Lobby assignment; not predictive.
slot,player_history_all,INTEGER,Player slot index in the lobby.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Lobby assignment.
team,player_history_all,INTEGER,Team number. Sentinel value 255 exists in some records.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Team number; sentinel 255 per matches_raw schema YAML notes. ~5.02% NULL+sentinel in player_history_all (5-40% FLAG band). Phase 02 strategy TBD.
startingAge,player_history_all,VARCHAR,"Starting age setting (dark, feudal, castle, imperial).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; near-constant in ranked play.
gameMode,player_history_all,VARCHAR,"Game mode identifier (e.g., random_map, empire_wars).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting.
speed,player_history_all,VARCHAR,"Game speed setting name (e.g., normal, fast).",see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Game setting; near-constant in ranked play.
won,player_history_all,BOOLEAN,"Match outcome for this player. TRUE = won, FALSE = lost.","{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_02,"TARGET. Prediction label for matches_1v1_clean. In player_history_all, used for historical win-rate feature computation. DS-AOEC-07: ~19,251 NULLs (0.0073%) from unranked/unknown leaderboards; EXCLUDE_TARGET_NULL_ROWS rule documented; physical exclusion deferred to Phase 02 per Rule S2."
country,player_history_all,VARCHAR,Player country code (ISO 3166-1 alpha-2).,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY / CONTEXT. Player attribute; potential demographic feature. ~8.30% NULL in player_history_all (5-40% FLAG band; DS-AOEC-05). Phase 02 strategy TBD ('Unknown' category encoding or country_was_null indicator).
verified,player_history_all,BOOLEAN,Whether the player account is verified.,"{TRUE, FALSE, NULL}",NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Account attribute.
filename,player_history_all,VARCHAR,Source Parquet file path relative to raw_dir (I10).,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY / PROVENANCE. Invariant I10: relative path only.
