column_name,table_or_view,dtype,semantics,valid_range,nullability,units,temporal_classification,provenance_step,invariant_notes
toon_id,matches_flat_clean,VARCHAR,Battle.net toon/account identifier. Player identity key.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Battle.net toon/account identifier. Player identity key.
nickname,matches_flat_clean,VARCHAR,Player nickname.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Player nickname.
playerID,matches_flat_clean,INTEGER,In-game player id.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. In-game player id.
userID,matches_flat_clean,BIGINT,User id.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. User id.
result,matches_flat_clean,VARCHAR,Game result (Win or Loss only -- Undecided/Tie excluded by true_1v1_decisive CTE). Prediction target.,see notes,NULLABLE,none,TARGET,01_04_02,TARGET. Game result (Win or Loss only -- Undecided/Tie excluded by true_1v1_decisive CTE). Prediction target.
is_mmr_missing,matches_flat_clean,BOOLEAN,TRUE if MMR=0 (unrated professional). MNAR. MMR dropped in 01_04_02 (DS-SC2-01); this flag preserves the rated/unrated signal.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. TRUE if MMR=0 (unrated professional). MNAR. MMR dropped in 01_04_02 (DS-SC2-01); this flag preserves the rated/unrated signal.
race,matches_flat_clean,VARCHAR,"Actual race played (Protoss, Zerg, Terran abbreviated).",see notes,NULLABLE,none,PRE_GAME,01_04_02,"PRE_GAME. Actual race played (Protoss, Zerg, Terran abbreviated)."
selectedRace,matches_flat_clean,VARCHAR,Selected race. Empty string normalised to 'Random'.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Selected race. Empty string normalised to 'Random'.
region,matches_flat_clean,VARCHAR,Battle.net region label.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Battle.net region label.
realm,matches_flat_clean,VARCHAR,Realm label.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Realm label.
isInClan,matches_flat_clean,BOOLEAN,Whether the player is in a clan.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Whether the player is in a clan.
startDir,matches_flat_clean,INTEGER,Starting direction code (lobby assignment).,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Starting direction code (lobby assignment).
startLocX,matches_flat_clean,INTEGER,Starting x location on map.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Starting x location on map.
startLocY,matches_flat_clean,INTEGER,Starting y location on map.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Starting y location on map.
metadata_mapName,matches_flat_clean,VARCHAR,Human-readable map name.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Human-readable map name.
gd_maxPlayers,matches_flat_clean,BIGINT,Max players in game description.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Max players in game description.
gd_mapFileSyncChecksum,matches_flat_clean,BIGINT,Map file sync checksum.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Map file sync checksum.
details_isBlizzardMap,matches_flat_clean,BOOLEAN,Blizzard-authored map flag (from details struct).,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Blizzard-authored map flag (from details struct).
details_timeUTC,matches_flat_clean,VARCHAR,UTC timestamp of game. Temporal anchor for I3 ordering.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. UTC timestamp of game. Temporal anchor for I3 ordering.
header_version,matches_flat_clean,VARCHAR,SC2 version string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. SC2 version string.
metadata_baseBuild,matches_flat_clean,VARCHAR,Base build string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Base build string.
metadata_dataBuild,matches_flat_clean,VARCHAR,Data build string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Data build string.
metadata_gameVersion,matches_flat_clean,VARCHAR,Game version.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Game version.
go_amm,matches_flat_clean,BOOLEAN,Game option: automated match making. Variable cardinality (n_distinct=2).,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. Game option: automated match making. Variable cardinality (n_distinct=2).
go_clientDebugFlags,matches_flat_clean,BIGINT,Game option: client debug flags. Variable cardinality (n_distinct=2).,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Game option: client debug flags. Variable cardinality (n_distinct=2).
go_competitive,matches_flat_clean,BOOLEAN,Game option: competitive mode. Variable cardinality (n_distinct=2).,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. Game option: competitive mode. Variable cardinality (n_distinct=2).
duration_seconds,matches_flat_clean,BIGINT,"Game duration in seconds. Derived from player_history_all.header_elapsedGameLoops / 22.4 (SC2 Faster loops/sec constant, I7) aggregated per replay_id. ADDENDUM 2026-04-18.",≥0s; NULL if not parseable,NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_02,"POST_GAME_HISTORICAL. Game duration in seconds. Derived from player_history_all.header_elapsedGameLoops / 22.4 (I7: details.gameSpeed cardinality=1 in sc2egset, research_log.md:424; Blizzard SC2 Faster=22.4 loops/sec). SAFE as player-history aggregate (match_time < T). UNSAFE as direct game-T featur"
is_duration_suspicious,matches_flat_clean,BOOLEAN,"TRUE where duration_seconds > 86,400s (24h sanity bound). Expected 0 for sc2egset (max=6,073s confirmed by 01_04_03 ADDENDUM). Threshold identical across sc2egset, aoestats, aoe2companion (I8). ADDEND","{TRUE, FALSE, NULL}",NULLABLE,none,POST_GAME_HISTORICAL,01_04_02,"POST_GAME_HISTORICAL. TRUE where duration_seconds > 86400s. Threshold: ~25x p99 for sc2egset (p99=1,884s, max=6,073s); identical across all 3 datasets (I8 cross-dataset comparability). Expected 0 rows for sc2egset. Added in 01_04_02 ADDENDUM 2026-04-18."
replay_id,player_history_all,VARCHAR,Canonical join key extracted via regexp. NULLIF empty-string guard applied.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Canonical join key extracted via regexp. NULLIF empty-string guard applied.
filename,player_history_all,VARCHAR,Replay file path relative to raw_dir. Invariant I10.,see notes,NOT NULL,none,IDENTIFIER,01_04_02,IDENTITY. Replay file path relative to raw_dir. Invariant I10.
toon_id,player_history_all,VARCHAR,Battle.net toon/account identifier. Player identity key.,see notes,NOT NULL,none,IDENTIFIER,01_04_02,IDENTITY. Battle.net toon/account identifier. Player identity key.
nickname,player_history_all,VARCHAR,Player nickname.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Player nickname.
playerID,player_history_all,INTEGER,In-game player id.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. In-game player id.
userID,player_history_all,BIGINT,User id.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. User id.
result,player_history_all,VARCHAR,"Game result (Win, Loss, Undecided, Tie). Unfiltered in history.",see notes,NULLABLE,none,TARGET,01_04_02,"TARGET. Game result (Win, Loss, Undecided, Tie). Unfiltered in history."
is_decisive_result,player_history_all,BOOLEAN,"TRUE if result IN ('Win','Loss'). Added in 01_04_02 (DS-SC2-04). Enables Phase 02 win-rate denominator selection without VIEW changes.","{TRUE, FALSE, NULL}",NULLABLE,none,POST_GAME_HISTORICAL,01_04_02,"POST_GAME_HISTORICAL. TRUE if result IN ('Win','Loss'). Added in 01_04_02 (DS-SC2-04). Enables Phase 02 win-rate denominator selection without VIEW changes."
is_mmr_missing,player_history_all,BOOLEAN,TRUE if MMR=0 (unrated professional). MNAR. MMR dropped in 01_04_02 (DS-SC2-01); this flag preserves the rated/unrated signal.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. TRUE if MMR=0 (unrated professional). MNAR. MMR dropped in 01_04_02 (DS-SC2-01); this flag preserves the rated/unrated signal.
race,player_history_all,VARCHAR,"Actual race played (Protoss, Zerg, Terran abbreviated).",see notes,NULLABLE,none,PRE_GAME,01_04_02,"PRE_GAME. Actual race played (Protoss, Zerg, Terran abbreviated)."
selectedRace,player_history_all,VARCHAR,Selected race. Empty string normalised to 'Random'.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Selected race. Empty string normalised to 'Random'.
region,player_history_all,VARCHAR,Battle.net region label.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Battle.net region label.
realm,player_history_all,VARCHAR,Realm label.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Realm label.
isInClan,player_history_all,BOOLEAN,Whether the player is in a clan.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Whether the player is in a clan.
APM,player_history_all,INTEGER,"Actions per minute. Sentinel APM=0 converted to NULL via NULLIF (01_04_02, DS-SC2-10). 1132 rows affected.",>0 integer (NULL if parse failure),NULLABLE,actions/minute,IN_GAME_HISTORICAL,01_04_02,"IN_GAME_HISTORICAL. Actions per minute. Sentinel APM=0 converted to NULL via NULLIF (01_04_02, DS-SC2-10). 1132 rows affected."
is_apm_unparseable,player_history_all,BOOLEAN,TRUE if original APM=0 (parse failure / empty replay). Added in 01_04_02 (DS-SC2-10).,"{TRUE, FALSE, NULL}",NULLABLE,none,IN_GAME_HISTORICAL,01_04_02,IN_GAME_HISTORICAL. TRUE if original APM=0 (parse failure / empty replay). Added in 01_04_02 (DS-SC2-10).
SQ,player_history_all,INTEGER,Spending Quotient. Parse-failure sentinel INT32_MIN corrected to NULL. IN_GAME_HISTORICAL.,see notes,NULLABLE,none,IN_GAME_HISTORICAL,01_04_02,IN_GAME_HISTORICAL. Spending Quotient. Parse-failure sentinel INT32_MIN corrected to NULL.
supplyCappedPercent,player_history_all,INTEGER,% game time supply-capped. IN_GAME_HISTORICAL.,see notes,NULLABLE,percent,IN_GAME_HISTORICAL,01_04_02,IN_GAME_HISTORICAL. % game time supply-capped.
header_elapsedGameLoops,player_history_all,BIGINT,Game duration in loops. IN_GAME_HISTORICAL (post-game observable).,see notes,NULLABLE,game loops,IN_GAME_HISTORICAL,01_04_02,IN_GAME_HISTORICAL. Game duration in loops. Post-game observable.
startDir,player_history_all,INTEGER,Starting direction code (lobby assignment).,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Starting direction code (lobby assignment).
startLocX,player_history_all,INTEGER,Starting x location on map.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Starting x location on map.
startLocY,player_history_all,INTEGER,Starting y location on map.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Starting y location on map.
metadata_mapName,player_history_all,VARCHAR,Human-readable map name.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Human-readable map name.
gd_mapSizeX,player_history_all,BIGINT,Map width (0 corrected to NULL; parse artifact). Retained in player_history_all per DS-SC2-06.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Map width (0 corrected to NULL; parse artifact). Retained in player_history_all per DS-SC2-06.
gd_mapSizeY,player_history_all,BIGINT,Map height (0 corrected to NULL; parse artifact). Retained in player_history_all per DS-SC2-06.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Map height (0 corrected to NULL; parse artifact). Retained in player_history_all per DS-SC2-06.
gd_maxPlayers,player_history_all,BIGINT,Max players in game description.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Max players in game description.
details_isBlizzardMap,player_history_all,BOOLEAN,"Blizzard-authored map flag (from details struct). Preferred over gd_isBlizzardMap (confirmed identical, duplicate dropped).","{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,"PRE_GAME. Blizzard-authored map flag (from details struct). Preferred over gd_isBlizzardMap (confirmed identical, duplicate dropped)."
gd_mapAuthorName,player_history_all,VARCHAR,Map author name. Retained in player_history_all per DS-SC2-07.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Map author name. Retained in player_history_all per DS-SC2-07.
gd_mapFileSyncChecksum,player_history_all,BIGINT,Map file sync checksum.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Map file sync checksum.
details_timeUTC,player_history_all,VARCHAR,UTC timestamp of game. Temporal anchor for I3 ordering.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. UTC timestamp of game. Temporal anchor for I3 ordering.
header_version,player_history_all,VARCHAR,SC2 version string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. SC2 version string.
metadata_baseBuild,player_history_all,VARCHAR,Base build string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Base build string.
metadata_dataBuild,player_history_all,VARCHAR,Data build string.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Data build string.
metadata_gameVersion,player_history_all,VARCHAR,Game version.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Game version.
go_amm,player_history_all,BOOLEAN,Game option: automated match making. Variable cardinality (n_distinct=2).,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. Game option: automated match making. Variable cardinality (n_distinct=2).
go_clientDebugFlags,player_history_all,BIGINT,Game option: client debug flags. Variable cardinality (n_distinct=2).,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Game option: client debug flags. Variable cardinality (n_distinct=2).
go_competitive,player_history_all,BOOLEAN,Game option: competitive mode. Variable cardinality (n_distinct=2).,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. Game option: competitive mode. Variable cardinality (n_distinct=2).
